County,Town,Date/Time,Distance,Name,Cost,Month,Day,Quarter,Weekday
F,New Canaan,"Sun, 6/11 8:00 AM",5K,MMRF Tri State 5K Run,"$35, $15 for aged 6-17, Free for under 5",6,11,2,7
F,Bridgeport,"Sun, 6/11 9:00 AM",5K,Run for the Rock,"$27, $30 day of",6,11,2,7
F,Brookfield,"Sun, 6/11 9:00 AM",5M,JDRF Strides to Cure Diabetes,"$20 through 5/31, $25 afterwards",6,11,2,7
T,Mansfield,"Sun, 6/11 9:00 AM",14.1M,Nipmuck South Trail Race,.$25,6,11,2,7
L,Salisbury,"Sun, 6/11 9:00 AM",13.1M,Lime Rock Park Half Marathon & 5K,"$60 through 6/4, $70 through 6/10, $80 raceday[CANCELLED]",6,11,2,7
L,Salisbury,"Sun, 6/11 9:30 AM",5K,Lime Rock Park Half Marathon & 5K,"$30 through 6/4, $35 through 6/10, $40 raceday[CANCELLED]",6,11,2,7
H,West Hartford,"Sun, 6/11 9:30 AM",5K,Celebrate West Hartford 5K Road Race,"$25 through 6/1, $30 afterwards",6,11,2,7
L,Litchfield,"Sun, 6/11 1:00 PM",7.1M,Litchfield Hills Road Race,"$35, $45 Raceday",6,11,2,7
H,Farmington,"Tue, 6/13 6:15 PM",Triathlon,Winding Trails Triathlon,"$30, $20 for members",6,13,2,2
H,Farmington,"Tue, 6/13 6:10 PM",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",6,13,2,2
F,New Canaan,"Tue, 6/13 7:00 PM",5K,Summer Cross Country Series,$3; Students/Kids - $2,6,13,2,2
NL,Stonington,"Wed, 6/14 6:00 PM",1M,Nick Bottone Mile,Free,6,14,2,3
H,Bristol,"Wed, 6/14 6:30 PM",3.7M,Bristol Summer Club,$1; $5 for summer,6,14,2,3
NH,Ansonia,"Wed, 6/14 7:00 PM",5K,Valley YMCA Sunset 5K,"$20, $25 raceday",6,14,2,3
H,Marlborough,"Thu, 6/15 6:15 PM",Triathlon,Lake Terramuggus Tri Series,"$30 for Sprint, $25 for Super Sprint",6,15,2,4
NL,Preston,"Thu, 6/15 7:00 PM",5K,St. Catherine's,"$15 through 6/10, $20 raceday. $10 for juniors",6,15,2,4
NH,Middlebury,"Sat, 6/17 7:00 AM",Triathlon,Pat Griskus Olympic Triathlon,.$80 ($15 more for non-USAT members),6,17,2,6
NH,Middlebury,"Sat, 6/17 7:00 AM",Triathlon,Pat Griskus Sprint Triathlon,.$70 ($15 more for non-USAT members),6,17,2,6
NH,Middlebury,"Sat, 6/17 7:00 AM",Duathlon,Pat Griskus Duathlon,.$80 ($15 more for non-USAT members),6,17,2,6
F,Norwalk,"Sat, 6/17 8:00 AM",3M,Norwalk Lightfoot Summer Series,"$12, $15 raceday",6,17,2,6
L,Roxbury,"Sat, 6/17 8:30 AM",6.5M,Roxbury Road Race Series,"$5, or $50 membership for the year",6,17,2,6
W,Putnam,"Sat, 6/17 9:00 AM",5K,Walk & Run for NECT Cancer Fund,"$25 through 6/1, $35 afterwards",6,17,2,6
NL,Colchester,"Sat, 6/17 9:00 AM",5K,Cross-Country 5K To Outrace Hunger,"$25 through 5/1, $30 through 6/16, $35 raceday",6,17,2,6
L,Colebrook,"Sat, 6/17 9:00 AM",5K,Jewell 5K Trail Run,"$20 through 6/1, $25 afterwards; Family rate $60 max - same address",6,17,2,6
H,Glastonbury,"Sat, 6/17 9:00 AM",5K,Glastonbury Relay for Life 5K,$25 through 6/16 POSTPONED,6,17,2,6
H,Granby,"Sat, 6/17 9:30 AM",5K,Granby Bear 5K Challenge,"$25 Adults and 5-17 with t-shirt, $15 ages 5-17 with no shirt, $30 raceday",6,17,2,6
W,Windham,"Sat, 6/17 9:00 AM",5K,Purple Run with United Against Domestic Violence,.$25,6,17,2,6
L,Winchester,"Sat, 6/17 10:00 AM",5K,Smile Through the Miles,"$20 pre-reg, $25 raceday",6,17,2,6
NH,Meriden,"Sat, 6/17 10:00 AM",5K,Purple Stride,"$30, $35 raceday, youth $15, $20 raceday",6,17,2,6
W,Woodstock,"Sat, 6/17 10:30 AM",5K,SOLAIR Nude 5K Color Run,.$30 for couples/familes 1st visit. $10 full time student,6,17,2,6
T,Hebron,"Sun, 6/18 7:30 AM",5.5M,Summer Solstice Trail Run,"$25 through 1/1, $30 through 6/17, $35 afterwards; Ages 10-22 - $5 off",6,18,2,7
T,Hebron,"Sun, 6/18 7:30 AM",3.3M,Summer Solstice Trail Run,"$25 through 1/1, $30 through 6/17, $35 afterwards; Ages 18-22 - $5 off; Ages 10-17 - $15 through 6/17, $20 afterwards",6,18,2,7
F,Ridgefield,"Sun, 6/18 8:30 AM",5K,Father's Day 5K,.$30,6,18,2,7
NH,Milford,"Sun, 6/18 9:00 AM",5K,Milford Moves for Veterans,"$22 through 4/30, $27 afterwards",6,18,2,7
F,Norwalk,"Sun, 6/18 9:30 AM",4.4M,Rowayton Fun Run,"$12 (+2.50), $20 raceday; Ages 1-15 - $6 (+2.00), $10 raceday",6,18,2,7
F,Norwalk,"Sun, 6/18 9:30 AM",2.2M,Rowayton Fun Run,"$12 (+2.50), $20 raceday; Ages 1-15 - $6 (+2.00), $10 raceday",6,18,2,7
L,Bridgewater,"Sun, 6/18 9:30 AM",5K,Little Britches 5K,"$25, $30 raceday",6,18,2,7
NH,Branford,"Sun, 6/18 10:15 AM",5M,Branford Road Race,"$29 through 5/3, $31 through 6/12, $33 through 6/17, $37 raceday",6,18,2,7
NH,Branford,"Sun, 6/18 9:30 AM",Kids 1M,Branford Road Race,"$12 through 5/3, $13 through 6/12, $15 through 6/17, $17 raceday",6,18,2,7
T,Columbia,"Tue, 6/20 6:00 PM",1.5M,Summer XC Fun Run,"$4, or $8 for whole series POSTPONED form 6/13",6,20,2,2
T,Columbia,"Tue, 6/20 6:00 PM",3M,Summer XC Fun Run,"$4, or $8 for whole series POSTPONED form 6/13",6,20,2,2
H,Farmington,"Tue, 6/20 6:15 PM",Triathlon,Winding Trails Triathlon,"$30, $20 for members",6,20,2,2
H,Farmington,"Tue, 6/20 6:10 PM",TinyTriathlon,Winding Trails Triathlon,"$25, $20 for members",6,20,2,2
F,New Canaan,"Tue, 6/20 7:00 PM",5K,Summer Cross Country Series,$3; Students/Kids - $2,6,20,2,2
L,Watertown,"Wed, 6/21 6:00 PM",5K,Summer Poker Run,TBD,6,21,2,3
L,Watertown,"Wed, 6/21 6:00 PM",3K,Summer Poker Run,TBD,6,21,2,3
H,Bristol,"Wed, 6/21 6:30 PM",3.7M,Bristol Summer Club,$1; $5 for summer,6,21,2,3
W,Killingly,"Thu, 6/22 5:30 PM",5K,Killingly River Trail Summer Fun Run Series #1,$5 ($20 for 8-week series) ONLINE REG ONLY THRU NOON OF RACEDAY,6,22,2,4
M,Chester,"Thu, 6/22 6:15 PM",Triathlon,Cedar Lake Tri Series,.$35 [ONLINE REGISTRATION ONLY],6,22,2,4
NL,Preston,"Thu, 6/22 7:00 PM",1M,Liz Harris Memorial Cannonball Mile,"$16, $18 raceday",6,22,2,4
F,Fairfield,"Sat, 6/24 8:00 AM",5K,Fairfield Half & 5K,"$27 through 12/31, $28 through 2/14, $30 through 4/14, $32 through 6/23, $35 raceday",6,24,2,6
NH,Wallingford,"Sat, 6/24 8:00 AM",5K Obstacle,Gaylord Gauntlet,"$55 through 5/1, $65 through 6/16, $70 afterwards",6,24,2,6
NH,Meriden,"Sat, 6/24 8:30 AM",5K,"Central CT Pet Fair, Dog Walk and 5K","$25 through 6/20, ?? Afterwards",6,24,2,6
L,Roxbury,"Sat, 6/24 8:30 AM",6.4M,Roxbury Road Race Series,"$5, or $50 membership for the year",6,24,2,6
M,Essex,"Sat, 6/24 8:45 AM",5K,Run For Chris,"$20 through 6/5, $25 afterwards",6,24,2,6
NH,Naugatuck,"Sat, 6/24 9:00 AM",5K,Run for New Beginnings,"$22, $10 for children 10 and under",6,24,2,6
NH,North Haven,"Sat, 6/24 9:30 AM",5K,Kid-U-Not 5K Road Race,"$20, $25 raceday, Children 12 & under are 1/2 price",6,24,2,6
L,Harwinton,"Sat, 6/24 9:30 AM",3.4M,Catch Me If You Can,.$20,6,24,2,6
H,West Hartford,"Sat, 6/24 10:00 AM",5K,NWC Scholarship Scamper 5K,"$25, $15 18 and under",6,24,2,6
T,Mansfield,"Sat, 6/24 10:00 AM",5K,Matthew Levesque Memorial 5K,.$25,6,24,2,6
H,Glastonbury,"Sun, 6/25 8:00 AM",5K,Firecracker 5K/2M Road Race,"$20, $25 raceday",6,25,2,7
H,Glastonbury,"Sun, 6/25 8:00 AM",2M,Firecracker 5K/2M Road Race,"$20, $25 raceday",6,25,2,7
F,Fairfield,"Sun, 6/25 8:00 AM",13.1M,Fairfield Half & 5K,"$50 through 12/31, $60 through 2/14, $65 through 4/14, $70 through 6/24, Not available on raceday",6,25,2,7
H,Farmington,"Tue, 6/27 6:15 PM",Triathlon,Winding Trails Triathlon,"$30, $20 for members",6,27,2,2
H,Farmington,"Tue, 6/27 6:10 PM",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",6,27,2,2
F,New Canaan,"Tue, 6/27 7:00 PM",5K,Summer Cross Country Series,$3; Students/Kids - $2 [Predict Your Own Time Race],6,27,2,2
H,Granby,"Wed, 6/28 6:00 PM",5K,Summer Sunset Family 5K Series,"$5, or $25 for all 6 races",6,28,2,3
L,Watertown,"Wed, 6/28 6:00 PM",5K,Summer Poker Run,TBD,6,28,2,3
L,Watertown,"Wed, 6/28 6:00 PM",3K,Summer Poker Run,TBD,6,28,2,3
H,Bristol,"Wed, 6/28 6:30 PM",3.7M,Bristol Summer Club,$1; $5 for summer,6,28,2,3
NH,Meriden,"Wed, 6/28 6:30 PM",3M,Summer Fun Run,Free,6,28,2,3
W,Killingly,"Thu, 6/29 5:30 PM",5K,Killingly River Trail Summer Fun Run Series #2,$5 ($20 for 8-week series) ONLINE REG ONLY THRU NOON OF RACEDAY,6,29,2,4
H,Marlborough,"Thu, 6/29 6:15 PM",Triathlon,Lake Terramuggus Tri Series,"$30 for Sprint, $25 for Super Sprint",6,29,2,4
H,Hartford,"Thu, 6/29 6:30 PM",5K,Riverfront Scramble #1,"$25 through 1/1, $30 through 6/18, $35 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 6/18, $20 afterwards",6,29,2,4
W,Killingly,"Fri, 6/30 6:00 PM",3.2M,Red White and & BBQ,"$15 Adults, $10 18 and under",6,30,2,5
F,Westport,"Sat, 7/1 8:00 AM",2.3M,Westport Road Runners Summer Series,"$10, $60 for series; Westport residents - 50% off",7,1,3,6
F,Norwalk,"Sat, 7/1 8:00 AM",5M,Norwalk Lightfoot Summer Series,"$12, $15 raceday",7,1,3,6
F,Redding,"Sat, 7/1 8:00 AM",9K,Rock 'N Roots,.$35,7,1,3,6
NL,Norwich,"Sat, 7/1 8:00 AM",5K,Rose Arts Festival Road Race,.$35,7,1,3,6
NL,Norwich,"Sat, 7/1 8:00 AM",10K,Rose Arts Festival Road Race,.$45,7,1,3,6
L,Roxbury,"Sat, 7/1 8:30 AM",3.52M,Roxbury Road Race Series,"$5, or $50 membership for the year",7,1,3,6
NH,Milford,"Sat, 7/1 9:00 AM",5K,Independence Day 5000,"$20, $25 raceday",7,1,3,6
F,Bethel,"Tue, 7/4 9:00 AM",8K,Firecracker 8K,"$25, $20 for 60 and over",7,4,3,2
M,Chester,"Tue, 7/4 9:00 AM",4M,Chester Rotary Four on the Fourth,"$20 through 6/20, $25 Afterwards",7,4,3,2
W,Windham,"Tue, 7/4 10:00 AM",1M,Boom Box Mile,"$10 through 5/30, $15 through 7/3, $20 raceday",7,4,3,2
F,New Canaan,"Tue, 7/4 8:00 AM",4M,Four on the Fourth,"$14.50 online, $17 by mail or race week, $20 raceday",7,4,3,2
NH,Middlebury,"Wed, 7/5 6:00 PM",Triathlon,Pat Griskus Sprint Triathlon,.$70 ($15 more for non-USAT members),7,5,3,3
L,Watertown,"Wed, 7/5 6:00 PM",5K,Summer Poker Run,TBD,7,5,3,3
L,Watertown,"Wed, 7/5 6:00 PM",3K,Summer Poker Run,TBD,7,5,3,3
H,Bristol,"Wed, 7/5 6:30 PM",3.7M,Bristol Summer Club,$1; $5 for summer,7,5,3,3
H,Newington,"Wed, 7/5 6:30 PM","5K, 3K",Newington Summer Fun Runs,Free,7,5,3,3
NH,Meriden,"Wed, 7/5 6:30 PM",3M,Summer Fun Run,Free,7,5,3,3
W,Killingly,"Thu, 7/6 5:30 PM",5K,Killingly River Trail Summer Fun Run Series #3,$5 ($20 for 8-week series) ONLINE REG ONLY THRU NOON OF RACEDAY,7,6,3,4
M,Chester,"Thu, 7/6 6:15 PM",Triathlon,Cedar Lake Tri Series,.$35 [ONLINE REGISTRATION ONLY],7,6,3,4
L,Litchfield,"Thu, 7/6 6:30 PM","2K, 3K, 4K, 5K",White Woods Cross Country Summer Series,.$2,7,6,3,4
H,Manchester,"Thu, 7/6 6:00 PM","3K Steeplecase, 1M, 5K",MRC Track & Field Series,"$10 per night, $5 under 17, $30 family, Groups of 10 or more - $7/adult, $5/youth",7,6,3,4
F,New Canaan,"Thu, 7/6 7:00 PM",5K,Summer Cross Country Series,$3; Students/Kids - $2,7,6,3,4
H,Farmington,"Fri, 7/7 6:10 PM",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",7,7,3,5
H,Farmington,"Fri, 7/7 6:15 PM",Triathlon,Winding Trails Triathlon,"$30, $20 for members",7,7,3,5
T,Columbia,"Fri, 7/7 6:30 PM",5K,Beat the Builder: Run for the Dominican Republic,"$15, or $40 for whole series",7,7,3,5
M,East Hampton,"Fri, 7/7 7:15 PM",5K,Glorious Gallop,"$20, $25 raceday; Ages 12 & under - $15",7,7,3,5
F,Westport,"Sat, 7/8 8:00 AM",3.1M,Westport Road Runners Summer Series,"$10, $60 for series; Westport residents - 50% off",7,8,3,6
L,Roxbury,"Sat, 7/8 8:30 AM",4.4M,Roxbury Road Race Series,$5 contribution per runner,7,8,3,6
H,Hartford,"Sat, 7/8 8:30 AM",5K,Red Dress Run For Women,"$25 through 1/1, $30 through 6/27, $35 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 6/27, $20 afterwards [WOMEN ONLY]",7,8,3,6
H,Hartford,"Sat, 7/8 8:30 AM",Kids 1M,Red Dress Run For Women,$10 [Ages 2-11 ONLY],7,8,3,6
H,Enfield,"Sat, 7/8 6:00 PM",5K,Twilight Fourth of July 5K,.$30,7,8,3,6
F,Monroe,"Sun, 7/9 7:00 AM",Youth Tri,Race 4 Chase Youth Triathlon,$20 plus USAT membership [Ages 11+ Only],7,9,3,7
NL,New London,"Sun, 7/9 9:15 AM",5K,Charter Oak Sailfest 5K,"$20 until 6/15, then $25",7,9,3,7
H,Manchester,"Mon, 7/10 6:00 PM",1M,Summer Grand Prix Cross Country Race Series,$4; Series - $15 (pre-registered),7,10,3,1
H,Manchester,"Mon, 7/10 6:00 PM",2.6M,Summer Grand Prix Cross Country Race Series,$5; Series - $20 (pre-registered),7,10,3,1
T,Columbia,"Tue, 7/11 6:00 PM",1.5M,Summer XC Fun Run,"$4, or $8 for whole series",7,11,3,2
T,Columbia,"Tue, 7/11 6:00 PM",3M,Summer XC Fun Run,"$4, or $8 for whole series",7,11,3,2
H,Farmington,"Tue, 7/11 6:10 PM",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",7,11,3,2
H,Farmington,"Tue, 7/11 6:15 PM",Triathlon,Winding Trails Triathlon,"$30, $20 for members",7,11,3,2
H,Granby,"Wed, 7/12 6:00 PM",5K,Summer Sunset Family 5K Series,"$5, or $25 for all 6 races",7,12,3,3
L,Watertown,"Wed, 7/12 6:00 PM",5K,Summer Poker Run,TBD,7,12,3,3
L,Watertown,"Wed, 7/12 6:00 PM",3K,Summer Poker Run,TBD,7,12,3,3
T,Somers,"Wed, 7/12 6:15 PM",5K,Somers Summer Series,"$5 Adults, Free for children under 10",7,12,3,3
H,Bristol,"Wed, 7/12 6:30 PM",3.7M,Bristol Summer Club,$1; $5 for summer,7,12,3,3
H,Newington,"Wed, 7/12 6:30 PM","5K, 3K",Newington Summer Fun Runs,Free,7,12,3,3
NH,Meriden,"Wed, 7/12 6:30 PM",3M,Summer Fun Run,Free,7,12,3,3
W,Killingly,"Thu, 7/13 5:30 PM",5K,Killingly River Trail Summer Fun Run Series #4,$5 ($20 for 8-week series)ONLINE REG ONLY THRU NOON OF RACEDAY[CANCELLED - RAIN],7,13,3,4
H,Manchester,"Thu, 7/13 6:00 PM","3K Steeplechase, 1M, 2M",MRC Track & Field Series,"$10 per night, $5 under 17, $30 family, Groups of 10 or more - $7/adult, $5/youth",7,13,3,4
H,Marlborough,"Thu, 7/13 6:15 PM",Triathlon,Lake Terramuggus Tri Series,"$30 for Sprint, $25 for Super Sprint",7,13,3,4
L,Litchfield,"Thu, 7/13 6:30 PM","2K, 3K, 4K, 5K",White Woods Cross Country Summer Series,.$2,7,13,3,4
F,Westport,"Sat, 7/15 8:00 AM",3.8M,Westport Road Runners Summer Series,"$10, $60 for series; Westport residents - 50% off",7,15,3,6
F,Norwalk,"Sat, 7/15 8:00 AM",7M,Norwalk Lightfoot Summer Series,"$12, $15 raceday",7,15,3,6
L,Warren,"Sat, 7/15 8:00 AM",Triathlon,Hopkins Vineyard Tri,"$80, add $15 for USAT 1-day membership",7,15,3,6
L,Roxbury,"Sat, 7/15 8:30 AM",7.25M,Roxbury Road Race Series,"$5, or $50 membership for the year",7,15,3,6
T,Mansfield,"Sat, 7/15 8:30 AM",5K,Run For the Playground,.$20,7,15,3,6
NH,Milford,"Sat, 7/15 8:00 PM",5K,Neon Night Run,"$35, free for under 5",7,15,3,6
H,Avon,"Sat, 7/15 9:00 AM",5K,Rolling Hills 5K,"$25, $30 raceday",7,15,3,6
H,New Britain,"Sat, 7/15 10:30 AM","1M, 2M",Nutmeg State Games Track Meet,$33 for up to 2 events. NO RACE DAY REGISTRATION,7,15,3,6
L,North Canaan,"Sun, 7/16 9:00 AM",5M,Railroad Days Road Race,"$20 until 7/5, $25 afterwards",7,16,3,7
L,New Hartford,"Sun, 7/16 7:30 AM",Triathlon,Litchfield Hills Triathlon & Duathlon,"$85 through 1/1, $100 through 7/5, $110 afterwards; Ages 16-22 - $5 off; 
 Add $15 for USAT 1-day membership",7,16,3,7
L,New Hartford,"Sun, 7/16 7:30 AM",Duathlon,Litchfield Hills Triathlon & Duathlon,"$60 through 1/1, $70 through 7/5, $90 afterwards; Ages 14-22 - $5 off; 
 Add $15 for USAT 1-day membership",7,16,3,7
NH,West Haven,"Sun, 7/16 8:00 AM",5K,Savin Rock 5K,.$25,7,16,3,7
T,Ellington,"Sun, 7/16 8:00 AM",Triathlon,Ellington Sprint Triathlon,$70 through 7/1,7,16,3,7
F,Stamford,"Sun, 7/16 7:00 AM",Triathlon,Navigators Stamford KIC IT Tris,"Olympic - $165 through 5/1, $175 through 5/31, $185 afterwards, Sprint $85 through 5/1, $95 through 5/31, $105 afterwards NO RACEDAY REGISTRATION",7,16,3,7
F,Stamford,"Sun, 7/16 10:00 AM",5K,Navigators Stamford KIC IT 5K,"$28 through 5/1, $30 through 5/31, $32 through 7/15, $35 raceday",7,16,3,7
H,Farmington,"Tue, 7/18 6:10 PM",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",7,18,3,2
H,Farmington,"Tue, 7/18 6:15 PM",Triathlon,Winding Trails Triathlon,"$30, $20 for members",7,18,3,2
L,Litchfield,"Tue, 7/18 6:30 PM",1M,Night of Miles,.$2,7,18,3,2
F,New Canaan,"Tue, 7/18 7:00 PM",5K,Summer Cross Country Series,$3; Students/Kids - $2 [Age Graded],7,18,3,2
H,Granby,"Wed, 7/19 6:00 PM",5K,Summer Sunset Family 5K Series,"$5, or $25 for all 6 races",7,19,3,3
L,Watertown,"Wed, 7/19 6:00 PM",5K,Summer Poker Run,TBD,7,19,3,3
L,Watertown,"Wed, 7/19 6:00 PM",3K,Summer Poker Run,TBD,7,19,3,3
NH,Cheshire,"Wed, 7/19 6:15 PM",1M,Night of Miles,CANCELLED,7,19,3,3
T,Somers,"Wed, 7/19 6:15 PM",5K,Somers Summer Series,"$5 Adults, Free for children under 10",7,19,3,3
H,Newington,"Wed, 7/19 6:30 PM","5K, 3K",Newington Summer Fun Runs,Free,7,19,3,3
L,Sharon,"Wed, 7/19 6:30 PM",4.1M,Sharon Sunset Trot,.$5,7,19,3,3
NH,Meriden,"Wed, 7/19 6:30 PM",3M,Summer Fun Run,Free,7,19,3,3
H,Bristol,"Wed, 7/19 6:30 PM",3.7M,Bristol Summer Club,$1; $5 for summer,7,19,3,3
M,Middletown,"Wed, 7/19 6:45 PM",5K,Citizens Bank 5K Summer Fun Run,"$26 through 6/1, $28 through 7/18, $30 raceday - Students $10",7,19,3,3
W,Killingly,"Thu, 7/20 5:30 PM",5K,Killingly River Trail Summer Fun Run Series #5,$5 ($20 for 8-week series) ONLINE REG ONLY THRU NOON OF RACEDAY,7,20,3,4
H,Manchester,"Thu, 7/20 6:00 PM","3K Steeplecase, 1M, 5K",MRC Track & Field Series,"$10 per night, $5 under 17, $30 family, Groups of 10 or more - $7/adult, $5/youth",7,20,3,4
M,Chester,"Thu, 7/20 6:15 PM",Triathlon,Cedar Lake Tri Series,.$35 [ONLINE REGISTRATION ONLY],7,20,3,4
L,Litchfield,"Thu, 7/20 6:30 PM","2K, 3K, 4K, 5K",White Woods Cross Country Summer Series,.$2,7,20,3,4
F,Trumbull,"Fri, 7/21 6:30 PM",5K,Sunset Run,.$30,7,21,3,5
T,Columbia,"Fri, 7/21 6:30 PM",5K,Beat the Builder: Run for the Dominican Republic,"$15, or $40 for whole series",7,21,3,5
F,Westport,"Sat, 7/22 8:00 AM",4.1M,Westport Road Runners Summer Series,"$10, $60 for series; Westport residents - 50% off",7,22,3,6
NH,Meriden,"Sat, 7/22 8:00 AM",5K,Summer Blaze 5K,.$25,7,22,3,6
L,Roxbury,"Sat, 7/22 8:30 AM",4.2M,Roxbury Road Race Series,free,7,22,3,6
M,Killingworth,"Sat, 7/22 8:30 AM",4M,Killingworth Road Race,"$22, $17 for under 18",7,22,3,6
H,Newington,"Sat, 7/22 9:00 AM",5K,Scottish Rite Freemasons 5K,.$25,7,22,3,6
NL,Norwich,"Sat, 7/22 10:00 AM",1M,Greenville Mile,"$15, $20 raceday; Ages 9 & under - Free",7,22,3,6
H,Bloomfield,"Sun, 7/23 8:00 AM",10K,Achilles CT Hope & Possibility 10K,"$35 through 1/1, $45 through 7/12, $50 afterwards; Ages 10-22 - $5 off",7,23,3,7
H,Bloomfield,"Sun, 7/23 8:00 AM",5K,Achilles CT Hope & Possibility 5K,"$25 through 1/1, $30 through 7/12, $35 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 7/12, $20 afterwards",7,23,3,7
W,Plainfield,"Sun, 7/23 8:30 AM",5K,iWarriors Freedom 5K,"$20, $25 raceday",7,23,3,7
NL,North Stonington,"Mon, 7/24 4:00 PM",5K,Robbie's Run,$500 (fundraising),7,24,3,1
H,Manchester,"Mon, 7/24 6:00 PM",1M,Summer Grand Prix Cross Country Race Series,$4; Series - $15 (pre-registered),7,24,3,1
H,Manchester,"Mon, 7/24 6:00 PM",2.6M,Summer Grand Prix Cross Country Race Series,$5; Series - $20 (pre-registered),7,24,3,1
H,Farmington,"Tue, 7/25 6:10 PM",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",7,25,3,2
H,Farmington,"Tue, 7/25 6:15 PM",Triathlon,Winding Trails Triathlon,"$30, $20 for members",7,25,3,2
F,New Canaan,"Tue, 7/25 7:00 PM",5K,Summer Cross Country Series,$3; Students/Kids - $2 [Women's Shortcut],7,25,3,2
H,Granby,"Wed, 7/26 6:00 PM",5K,Summer Sunset Family 5K Series,"$5, or $25 for all 6 races",7,26,3,3
L,Watertown,"Wed, 7/26 6:00 PM",5K,Summer Poker Run,TBD,7,26,3,3
L,Watertown,"Wed, 7/26 6:00 PM",3K,Summer Poker Run,TBD,7,26,3,3
T,Somers,"Wed, 7/26 6:15 PM",5K,Somers Summer Series,"$5 Adults, Free for children under 10",7,26,3,3
H,Newington,"Wed, 7/26 6:30 PM","5K, 3K",Newington Summer Fun Runs,Free,7,26,3,3
NH,Meriden,"Wed, 7/26 6:30 PM",3M,Summer Fun Run,Free,7,26,3,3
H,Bristol,"Wed, 7/26 6:30 PM",3.7M,Bristol Summer Club,$1; $5 for summer,7,26,3,3
W,Killingly,"Thu, 7/27 5:30 PM",5K,Killingly River Trail Summer Fun Run Series #6,$5 ($20 for 8-week series) ONLINE REG ONLY THRU NOON OF RACEDAY,7,27,3,4
H,Manchester,"Thu, 7/27 6:00 PM","3K Steeplechase, 1M, 2M",MRC Track & Field Series,"$10 per night, $5 under 17, $30 family, Groups of 10 or more - $7/adult, $5/youth",7,27,3,4
NL,Stonington,"Thu, 7/27 6:00 PM",5K,Blessing of the Fleet,.$20,7,27,3,4
H,Marlborough,"Thu, 7/27 6:15 PM",Triathlon,Lake Terramuggus Tri Series,"$30 for Sprint, $25 for Super Sprint",7,27,3,4
L,Litchfield,"Thu, 7/27 6:30 PM","2K, 3K, 4K, 5K",White Woods Cross Country Summer Series,.$2,7,27,3,4
H,Hartford,"Thu, 7/27 6:30 PM",5K,Riverfront Scramble #2,"$25 through 1/1, $30 through 7/16, $35 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 7/16, $20 afterwards",7,27,3,4
F,Norwalk,"Thu, 7/27 6:30 PM",5K,Corporate FunRun Fairfield County 5K,.$40,7,27,3,4
L,Morris,"Fri, 7/28 5:00 PM",Triathlon,Sandy Beach Triathlon,.$75,7,28,3,5
F,Westport,"Sat, 7/29 8:00 AM",4.7M,Westport Road Runners Summer Series,"$10, $60 for series; Westport residents - 50% off",7,29,3,6
F,Norwalk,"Sat, 7/29 8:00 AM",9M,Norwalk Lightfoot Summer Series,"$12, $15 raceday",7,29,3,6
NL,Old Lyme,"Sat, 7/29 8:00 AM",5K,LYSB Midsummer Run,"$30, $15 for youth",7,29,3,6
NH,Milford,"Sat, 7/29 8:15 AM",5K,Woodmont 5K,.$20,7,29,3,6
L,New Milford,"Sat, 7/29 8:30 AM",8M,8 Mile Road Race,.$25,7,29,3,6
L,New Milford,"Sat, 7/29 8:30 AM",5K,5K Run/Walk,.$25,7,29,3,6
F,Ridgefield,"Sat, 7/29 7:00 PM",5K,Southwest Cafe Margarita 5K,.$30,7,29,3,6
F,Greenwich,"Sun, 7/30 7:00 AM",Triathlon,Greenwich Cup Triathlon,.$75,7,30,3,7
NH,Milford,"Sun, 7/30 7:30 AM",Triathlon,Charles Island Y-Tri,TBD,7,30,3,7
NH,Guilford,"Sun, 7/30 8:00 AM",10M,Sea Legs Shuffle,"$40 through 7/1, $45 through 7/29, $50 raceday",7,30,3,7
NH,Guilford,"Sun, 7/30 8:00 AM",5K,Sea Legs Shuffle,"$26 through 7/1, $28 through 7/29, $30 raceday",7,30,3,7
T,Somers,"Sun, 7/30 9:00 AM",5.5M,Soapstone Assault,"$10, $15 raceday",7,30,3,7
H,East Windsor,"Sun, 7/30 10:00 AM",5K,"TarTan ""Dogs in the Field"" 5K","$25, $30 raceday",7,30,3,7
H,East Windsor,"Sun, 7/30 11:00 AM",,3rd Annual Run 169 Towns Society Picnic,$15 per person,7,30,3,7
H,Farmington,"Tue, 8/1 6:10 PM",Tiny Triathlon,Winding Trails Triathlon,"$25, $20 for members",8,1,3,2
H,Farmington,"Tue, 8/1 6:15 PM",Triathlon,Winding Trails Triathlon,"$30, $20 for members",8,1,3,2
F,New Canaan,"Tue, 8/1 7:00 PM",5K,Summer Cross Country Series,$3; Students/Kids - $2 [Figure 8 Race Map],8,1,3,2
